Entity Name,Domain,Sub-Domain,Entity Type
Indra Sawhney and Others v. Union of India,LawAndJustice,Supreme Court,PERSON
"Information Technology Rules, 2021",LawAndJustice,Law,PERSON
Janhit Abhiyan v. Union of India,LawAndJustice,Supreme Court,PERSON
Jharkhand Lok Adalat,LawAndJustice,Law,PERSON
Johnson John,LawAndJustice,Judges,PERSON
Judge Advocate General,LawAndJustice,Law,PERSON
Judge Advocate General's Department,LawAndJustice,Law,PERSON
Judicial review in India,LawAndJustice,Law,PERSON
Judiciary of India,LawAndJustice,Law,PERSON
K. M. Nanavati v. State of Maharashtra,LawAndJustice,Supreme Court,PERSON
Karnataka Lok Adalat,LawAndJustice,Law,PERSON
Kerala Lok Adalat,LawAndJustice,Law,PERSON
Kesavananda Bharati v. State of Kerala,LawAndJustice,Supreme Court,PERSON
Khasra,LawAndJustice,Law,PERSON
Kudarikoti Annadanayya Swamy,LawAndJustice,Judges,PERSON
L. Narayana Swamy,LawAndJustice,Judges,PERSON
Land acquisition in India,LawAndJustice,Law,PERSON
Law Commission of India,LawAndJustice,Law,PERSON
Law of India,LawAndJustice,Law,PERSON
Lawmaking procedure in India,LawAndJustice,Law,PERSON
Lawyers' Day,LawAndJustice,Law,PERSON
Legal practice in India,LawAndJustice,Law,PERSON
Legal status of Jainism as a distinct religion in India,LawAndJustice,Law,PERSON
List of government of Tamil Nadu laws and rules,LawAndJustice,Law,PERSON
Lok Adalat,LawAndJustice,Law,PERSON
M. C. Mehta v. Kamal Nath,LawAndJustice,Supreme Court,PERSON
M. C. Mehta v. Union of India,LawAndJustice,Supreme Court,PERSON
M. Duraiswamy,LawAndJustice,Judges,PERSON
M. V. Muralidaran,LawAndJustice,Judges,PERSON
M.H.S. Ansari,LawAndJustice,Judges,PERSON
M/S R.M.D.C.,LawAndJustice,Supreme Court,PERSON
Madhya Pradesh Lok Adalat,LawAndJustice,Law,PERSON
Maharashtra Lok Adalat,LawAndJustice,Law,PERSON
Maneka Gandhi v. Union of India,LawAndJustice,Supreme Court,PERSON
Manesar land scam,LawAndJustice,Law,PERSON
Manipur Lok Adalat,LawAndJustice,Law,PERSON
Maradu apartments demolition order,LawAndJustice,Supreme Court,PERSON
McDowell & Company Limited v. CTO,LawAndJustice,Supreme Court,PERSON
Meghalaya Lok Adalat,LawAndJustice,Law,PERSON
Minerva Mills v. Union of India,LawAndJustice,Supreme Court,PERSON
Ministry of Law and Justice,LawAndJustice,Law,PERSON
Misrepresentation in Indian law,LawAndJustice,Law,PERSON
Mohammad Salimullah v. Union of India,LawAndJustice,Supreme Court,PERSON
Mohd. Ahmed Khan v. Shah Bano Begum,LawAndJustice,Supreme Court,PERSON
Mohini Jain v. State of Karnataka,LawAndJustice,Supreme Court,PERSON
Motor Vehicle Insurance,LawAndJustice,Law,PERSON
Municipal Corporations Act,LawAndJustice,Law,PERSON
Munsiff Court,LawAndJustice,Law,PERSON
N Anand Venkatesh,LawAndJustice,Judges,PERSON
N. Kotiswar Singh,LawAndJustice,Judges,PERSON
Nagaland Lok Adalat,LawAndJustice,Law,PERSON
Narendra Kumar Vyas,LawAndJustice,Judges,PERSON
Narsing Rao Nandikonda,LawAndJustice,Judges,PERSON
National Data Sharing and Accessibility Policy,LawAndJustice,Law,PERSON
National Judicial Data Grid,LawAndJustice,Law,PERSON
National Legal Services Authority,LawAndJustice,Law,PERSON
National Legal Services Authority v. Union of India,LawAndJustice,Supreme Court,PERSON
National Litigation Policy,LawAndJustice,Law,PERSON
National Task Force for Safety of Medical Professionals,LawAndJustice,Law,PERSON
Nirmal Singh,LawAndJustice,Judges,PERSON
Nitin Madhukar Jamdar,LawAndJustice,Judges,PERSON
No Objection Certificate,LawAndJustice,Law,PERSON
Nomadic tribes in India,LawAndJustice,Law,PERSON
Non-governmental organisations in India,LawAndJustice,Law,PERSON
Non-profit laws of India,LawAndJustice,Law,PERSON
Novartis v. Union of India and Others,LawAndJustice,Supreme Court,PERSON
Nyaya panchayat,LawAndJustice,Law,PERSON
Odisha Lok Adalat,LawAndJustice,Law,PERSON
Olga Tellis v. Bombay Municipal Corporation,LawAndJustice,Supreme Court,PERSON
Om Prakash v. State of Uttar Pradesh,LawAndJustice,Supreme Court,PERSON
Online pharmacy laws in India,LawAndJustice,Law,PERSON
Ordinance,LawAndJustice,Law,PERSON
Orissa Lok Adalat,LawAndJustice,Law,PERSON
Orissa Mining Corporation v. Ministry of Environment and Forest and Others,LawAndJustice,Supreme Court,PERSON
P. S. Dinesh Kumar,LawAndJustice,Judges,PERSON
P. Sam Koshy,LawAndJustice,Judges,PERSON
Pannalal Bose,LawAndJustice,Judges,PERSON
Parsi law,LawAndJustice,Law,PERSON
Pendency of court cases in India,LawAndJustice,Law,PERSON
Penguin Books Ltd. v. India Book Distributors and Others,LawAndJustice,Law,PERSON
Pondicherry Lok Adalat,LawAndJustice,Law,PERSON
Pornography in India,LawAndJustice,Law,PERSON
Prajapati,LawAndJustice,Supreme Court,PERSON
Prasanna B. Varale,LawAndJustice,Judges,PERSON
Public Account,LawAndJustice,Law,PERSON
Public interest litigation in India,LawAndJustice,Law,PERSON
Punjab Lok Adalat,LawAndJustice,Law,PERSON
"QRG on Arbitration, Conciliation and Mediation",LawAndJustice,Law,PERSON
R. G. Anand v. Deluxe Films,LawAndJustice,Supreme Court,PERSON
R. Mahadevan,LawAndJustice,Judges,PERSON
R. S. Mongia,LawAndJustice,Judges,PERSON
Rajasthan Lok Adalat,LawAndJustice,Law,PERSON
Rajbala v. State of Haryana,LawAndJustice,Supreme Court,PERSON
Ramesh Ranganathan,LawAndJustice,Judges,PERSON
Ranjit D. Udeshi v. State of Maharashtra,LawAndJustice,Supreme Court,PERSON
Ranjit Vasantrao More,LawAndJustice,Judges,PERSON
Rape in India,LawAndJustice,Law,PERSON
Rashmin Manharbhai Chhaya,LawAndJustice,Judges,PERSON
Repealing and Amending Act,LawAndJustice,Law,PERSON
Reservation in India,LawAndJustice,Law,PERSON
Restoration of the statehood of Jammu and Kashmir and Ladakh,LawAndJustice,Supreme Court,PERSON
Review petition,LawAndJustice,Law,PERSON
Ritu Bahri,LawAndJustice,Judges,PERSON
Rupan Deol Bajaj case,LawAndJustice,Supreme Court,PERSON
S. C. Dharmadhikari,LawAndJustice,Judges,PERSON
S. Manikumar,LawAndJustice,Judges,PERSON
S. R. Bommai v. Union of India,LawAndJustice,Supreme Court,PERSON
S. Rajeswaran,LawAndJustice,Judges,PERSON
S. Vaidyanathan,LawAndJustice,Judges,PERSON
Sabina,LawAndJustice,Judges,PERSON
Sangam Kumar Sahoo,LawAndJustice,Judges,PERSON
Sanjay V. Gangapurwala,LawAndJustice,Judges,PERSON
Sanjaya Kumar Mishra,LawAndJustice,Judges,PERSON
Sanjeev Sachdeva,LawAndJustice,Judges,PERSON
Sanjib Banerjee,LawAndJustice,Judges,PERSON
Sanju Panda,LawAndJustice,Judges,PERSON
Sarbarakar,LawAndJustice,Law,PERSON
Sarla Mudgal and Others v. Union of India,LawAndJustice,Supreme Court,PERSON
Satyam Infoway Ltd. v. Sifynet Solutions Pvt. Ltd.,LawAndJustice,Supreme Court,PERSON
Sewaram Singh Thapar,LawAndJustice,Judges,PERSON
Shadi Lal,LawAndJustice,Judges,PERSON
Shajra,LawAndJustice,Law,PERSON
Shihab Thangal Charity Trust,LawAndJustice,Law,PERSON
Shoba Annamma Eapen,LawAndJustice,Judges,PERSON
Shree Chandrashekhar,LawAndJustice,Judges,PERSON
Siddharth Mridul,LawAndJustice,Judges,PERSON
Sikkim Lok Adalat,LawAndJustice,Law,PERSON
Sonipat–Kharkhoda IMT land case,LawAndJustice,Supreme Court,PERSON
Special Leave Petitions in India,LawAndJustice,Law,PERSON
Special session of the Parliament of India,LawAndJustice,Law,PERSON
Speed limits in India,LawAndJustice,Law,PERSON
Srinivas Varadachariar,LawAndJustice,Judges,PERSON
Standard Indian Legal Citation,LawAndJustice,Law,PERSON
State of Madras v. Champakam Dorairajan,LawAndJustice,Supreme Court,PERSON
States of emergency in India,LawAndJustice,Law,PERSON
Surajit Chandra Lahiri,LawAndJustice,Judges,PERSON
Suresh Kumar Koushal v. Naz Foundation,LawAndJustice,Supreme Court,PERSON
Swasthya Adhikar Manch v. Union of India,LawAndJustice,Supreme Court,PERSON
Syed Shah Mohammed Quadri,LawAndJustice,Judges,PERSON
T. Amarnath Goud,LawAndJustice,Judges,PERSON
T. Raja,LawAndJustice,Judges,PERSON
T. S. R. Subramanian v. Union of India,LawAndJustice,Supreme Court,PERSON
T. S. Sivagnanam,LawAndJustice,Judges,PERSON
Tamil Nadu Lok Adalat,LawAndJustice,Law,PERSON
"Tamil Nadu Preventive Detention Act, 1982",LawAndJustice,Law,PERSON
Tashi Rabstan,LawAndJustice,Judges,PERSON
Tejas Karia,LawAndJustice,Judges,PERSON
Tele-law programme,LawAndJustice,Law,PERSON
The Gazette of India,LawAndJustice,Law,PERSON
"The Regional Provident Fund Commissioner, West Bengal",LawAndJustice,Supreme Court,PERSON
Tort law in India,LawAndJustice,Law,PERSON
Tripura Lok Adalat,LawAndJustice,Law,PERSON
Ujjal Bhuyan,LawAndJustice,Judges,PERSON
Vipin Sanghi,LawAndJustice,Judges,PERSON
Vishal Dhagat,LawAndJustice,Judges,PERSON
Vivek Kumar Birla,LawAndJustice,Judges,PERSON
Viveka Nand Sharan Tripathi,LawAndJustice,Judges,PERSON
Vyavahāramālā,LawAndJustice,Law,PERSON
West Bengal Judicial Service,LawAndJustice,Law,PERSON
West Bengal Legal Service,LawAndJustice,Law,PERSON
West Bengal Lok Adalat,LawAndJustice,Law,PERSON
Wildlife First v. Union of India,LawAndJustice,Supreme Court,PERSON
Yes Bank AT1 bond controversy,LawAndJustice,Supreme Court,PERSON
Agartala,Places,Indian City,PLACE
Agra,Places,Indian City,PLACE
Ahilyanagar,Places,Indian City,PLACE
Ahmedabad,Places,Indian City,PLACE
Ajmer,Places,Indian City,PLACE
Akola,Places,Indian City,PLACE
Aligarh,Places,Indian City,PLACE
Alwar,Places,Indian City,PLACE
Amritsar,Places,Indian City,PLACE
Andaman and Nicobar Islands,Places,Indian State,PERSON
Andhra Pradesh,Places,Indian State,PERSON
Arambagh,Places,Indian City,PLACE
Archaeology of Mizoram,Places,Indian State,PERSON
Arunachal Pradesh,Places,Indian State,PERSON
Asansol,Places,Indian City,PLACE
Ashokenagar Kalyangarh,Places,Indian City,PLACE
Assam,Places,Indian State,PERSON
Aurangabad,Places,Indian City,PLACE
Baidyabati,Places,Indian City,PLACE
Bally,Places,Indian City,PLACE
Bangaon,Places,Indian City,PLACE
Bansberia,Places,Indian City,PLACE
Baranagar,Places,Indian City,PLACE
Barasat,Places,Indian City,PLACE
Bardhaman,Places,Indian City,PLACE
Bareilly,Places,Indian City,PLACE
Barrackpore,Places,Indian City,PLACE
Basirhat,Places,Indian City,PLACE
Beed,Places,Indian City,PLACE
Begusarai,Places,Indian City,PLACE
Belgaum,Places,Indian City,PLACE
Berhampore,Places,Indian City,PLACE
Bettiah,Places,Indian City,PLACE
Bhadreswar,Places,Indian City,PLACE
Bhagalpur,Places,Indian City,PLACE
Bharatpur,Places,Indian City,PLACE
Bhatpara,Places,Indian City,PLACE
Bhilai,Places,Indian City,PLACE
Bhiwandi,Places,Indian City,PLACE
Bhiwani,Places,Indian City,PLACE
Bhopal,Places,Indian City,PLACE
Bhubaneswar,Places,Indian City,PLACE
Bidhannagar,Places,Indian City,PLACE
Bihar,Places,Indian State,PERSON
Bikaner,Places,Indian City,PLACE
Bilaspur,Places,Indian City,PLACE
Chakdaha,Places,Indian City,PLACE
Chakradharpur,Places,Indian City,PLACE
Champdani,Places,Indian City,PLACE
Chandannagar,Places,Indian City,PLACE
Chandigarh,Places,Indian City,PLACE
Chhattisgarh,Places,Indian State,PERSON
Chittorgarh,Places,Indian City,PLACE
Cochin,Places,Indian City,PLACE
Coimbatore,Places,Indian City,PLACE
Cuddalore,Places,Indian City,PLACE
Cuttack,Places,Indian City,PLACE
Dabgram,Places,Indian City,PLACE
Dadra and Nagar Haveli and Daman and Diu,Places,Indian State,PERSON
Dankuni,Places,Indian City,PLACE
Darjeeling,Places,Indian City,PLACE
Dehradun,Places,Indian City,PLACE
Delhi,Places,Indian State,PERSON
Deo Town,Places,Indian City,PLACE
Dharashiv,Places,Indian City,PLACE
Dharwad,Places,Indian City,PLACE
Dibrugarh,Places,Indian City,PLACE
Dispur,Places,Indian City,PLACE
Dum Dum,Places,Indian City,PLACE
Durg,Places,Indian City,PLACE
Durgapur,Places,Indian City,PLACE
Erode,Places,Indian City,PLACE
Faizabad,Places,Indian City,PLACE
Faridabad,Places,Indian City,PLACE
Gangtok,Places,Indian City,PLACE
Garulia,Places,Indian City,PLACE
Gaya,Places,Indian City,PLACE
Ghaziabad,Places,Indian City,PLACE
Goa,Places,Indian State,PERSON
Godavarikhani,Places,Indian City,PLACE
Godhra,Places,Indian City,PLACE
Gorakhpur,Places,Indian City,PLACE
Greater Noida,Places,Indian City,PLACE
Gujarat,Places,Indian State,PERSON
Gurgaon,Places,Indian City,PLACE
Guwahati,Places,Indian City,PLACE
Gwalior,Places,Indian City,PLACE
Habra,Places,Indian City,PLACE
Haldia,Places,Indian City,PLACE
Halisahar,Places,Indian City,PLACE
Handwara,Places,Indian City,PLACE
Haryana,Places,Indian State,PERSON
Hassan,Places,Indian City,PLACE
Himachal Pradesh,Places,Indian State,PERSON
Hisar,Places,Indian City,PLACE
Hugli-Chuchura,Places,Indian City,PLACE
Ichalkaranji,Places,Indian City,PLACE
Imphal,Places,Indian City,PLACE
Indore,Places,Indian City,PLACE
Jabalpur,Places,Indian City,PLACE
Jaipur,Places,Indian City,PLACE
Jalgaon,Places,Indian City,PLACE
Jalpaiguri,Places,Indian City,PLACE
Jammu and Kashmir,Places,Indian State,PERSON
Jamnagar,Places,Indian City,PLACE
Jamshedpur,Places,Indian City,PLACE
Jaunpur,Places,Indian City,PLACE
Jhansi,Places,Indian City,PLACE
Jharkhand,Places,Indian State,PERSON
Jodhpur,Places,Indian City,PLACE
Kalyani,Places,Indian City,PLACE
Kamarhati,Places,Indian City,PLACE
Kanakapura,Places,Indian City,PERSON
Kanchipuram,Places,Indian City,PLACE
Kanchrapara,Places,Indian City,PLACE
Kanpur,Places,Indian City,PLACE
Karimnagar,Places,Indian City,PLACE
Karnataka,Places,Indian State,PERSON
Kerala,Places,Indian State,PERSON
Kharagpur,Places,Indian City,PLACE
Khardah,Places,Indian City,PLACE
Kochi,Places,Indian City,PLACE
Kollam,Places,Indian City,PLACE
Konnagar,Places,Indian City,PLACE
Kota,Places,Indian City,PLACE
Kottayam,Places,Indian City,PLACE
Kozhikode,Places,Indian City,PLACE
Krishnanagar,Places,Indian City,PLACE
Ladakh,Places,Indian State,PERSON
Lakshadweep,Places,Indian State,PERSON
Lucknow,Places,Indian City,PLACE
Madhya Pradesh,Places,Indian State,PERSON
Madhyamgram,Places,Indian City,PLACE
Madurai,Places,Indian City,PLACE
Mahabubnagar,Places,Indian City,PLACE
Maharashtra,Places,Indian State,PERSON
Maheshtala,Places,Indian City,PLACE
Malda,Places,Indian City,PLACE
Mandsaur,Places,Indian City,PLACE
Mandya,Places,Indian City,PLACE
Mangaluru,Places,Indian City,PLACE
Manipur,Places,Indian State,PERSON
Medinipur,Places,Indian City,PLACE
Meerut,Places,Indian City,PLACE
Meghalaya,Places,Indian State,PERSON
Mehsana,Places,Indian City,PLACE
Mira-Bhayandar,Places,Indian City,PLACE
Mizoram,Places,Indian State,PERSON
Mohali,Places,Indian City,PLACE
Moradabad,Places,Indian City,PLACE
Muzaffarpur,Places,Indian City,PLACE
Mysore,Places,Indian City,PLACE
Nabadwip,Places,Indian City,PLACE
Nadiad,Places,Indian City,PLACE
Nagaland,Places,Indian State,PERSON
Nagpur,Places,Indian City,PLACE
Naihati,Places,Indian City,PLACE
Nashik,Places,Indian City,PLACE
Navi Mumbai,Places,Indian City,PLACE
New Barrackpore,Places,Indian City,PLACE
Nizamabad,Places,Indian City,PLACE
North Barrackpore,Places,Indian City,PLACE
North Dum Dum,Places,Indian City,PLACE
Odisha,Places,Indian State,PERSON
Old Malda,Places,Indian City,PLACE
Palakkad,Places,Indian City,PLACE
Pali,Places,Indian City,PLACE
Panihati,Places,Indian City,PLACE
Panvel,Places,Indian City,PLACE
Pathankot,Places,Indian City,PLACE
Patiala,Places,Indian City,PLACE
Patna,Places,Indian City,PLACE
Peeplu,Places,Indian City,PERSON
Prayagraj (Allahabad),Places,Indian City,PLACE
Puducherry,Places,Indian State,PERSON
"Punjab, India",Places,Indian State,PERSON
Puri,Places,Indian City,PLACE
Purnia,Places,Indian City,PLACE
Raiganj,Places,Indian City,PLACE
Raipur,Places,Indian City,PLACE
Rajasthan,Places,Indian State,PERSON
Rajpur Sonarpur,Places,Indian City,PLACE
Ranchi,Places,Indian City,PLACE
Ratlam,Places,Indian City,PLACE
Rishra,Places,Indian City,PLACE
Rohtak,Places,Indian City,PLACE
Saharanpur,Places,Indian City,PLACE
Saharsa,Places,Indian City,PLACE
Salem,Places,Indian City,PLACE
Sambhal,Places,Indian City,PLACE
Sangli,Places,Indian City,PLACE
Santipur,Places,Indian City,PLACE
Satara,Places,Indian City,PLACE
Satna,Places,Indian City,PLACE
Serampore,Places,Indian City,PLACE
Shimla,Places,Indian City,PLACE
Sikkim,Places,Indian State,PERSON
Siliguri,Places,Indian City,PLACE
Solapur,Places,Indian City,PLACE
Sopore,Places,Indian City,PLACE
South Dum Dum,Places,Indian City,PLACE
Srinagar,Places,Indian City,PLACE
Srivijayapuram,Places,Indian City,PLACE
States and union territories of India,Places,Indian State,PERSON
Surat,Places,Indian City,PLACE
Tamil Nadu,Places,Indian State,PERSON
Telangana,Places,Indian State,PERSON
Thane,Places,Indian City,PLACE
Thanjavur,Places,Indian City,PLACE
Thiruvananthapuram,Places,Indian City,PLACE
Thrissur,Places,Indian City,PLACE
Tiruchirappalli,Places,Indian City,PLACE
Titagarh,Places,Indian City,PLACE
Tripura,Places,Indian State,PERSON
Udaipur,Places,Indian City,PLACE
Ujjain,Places,Indian City,PLACE
Ulhasnagar,Places,Indian City,PLACE
Uluberia,Places,Indian City,PLACE
Union territory,Places,Indian State,PERSON
Uttar Pradesh,Places,Indian State,PERSON
Uttarakhand,Places,Indian State,PERSON
Uttarpara Kotrung,Places,Indian City,PLACE
Vadodara,Places,Indian City,PLACE
Vasai-Virar,Places,Indian City,PLACE
Vijayapura,Places,Indian City,PLACE
Vijayawada,Places,Indian City,PLACE
Warangal,Places,Indian City,PLACE
West Bengal,Places,Indian State,PERSON
1952 Indian Rajya Sabha elections,Politics,Elections,EVENT
1953 Indian Rajya Sabha elections,Politics,Elections,EVENT
1954 Indian Rajya Sabha elections,Politics,Elections,EVENT
1956 Indian Rajya Sabha elections,Politics,Elections,EVENT
1957 Indian Rajya Sabha elections,Politics,Elections,EVENT
1958 Indian Rajya Sabha elections,Politics,Elections,EVENT
1959 Indian Rajya Sabha elections,Politics,Elections,EVENT
1959 Nawada by-election,Politics,Elections,EVENT
1960 Indian Rajya Sabha elections,Politics,Elections,EVENT
1961 Indian Rajya Sabha elections,Politics,Elections,EVENT
1961 elections in India,Politics,Elections,EVENT
1962 Indian Rajya Sabha elections,Politics,Elections,EVENT
1962 elections in India,Politics,Elections,EVENT
1963 Indian Rajya Sabha elections,Politics,Elections,EVENT
1964 Indian Rajya Sabha elections,Politics,Elections,EVENT
1965 Indian Rajya Sabha elections,Politics,Elections,EVENT
1965 elections in India,Politics,Elections,EVENT
1966 Indian Rajya Sabha elections,Politics,Elections,EVENT
1967 Indian Rajya Sabha elections,Politics,Elections,EVENT
1967 elections in India,Politics,Elections,EVENT
1968 Indian Rajya Sabha elections,Politics,Elections,EVENT
1968 elections in India,Politics,Elections,EVENT
1969 Indian Rajya Sabha elections,Politics,Elections,EVENT
1969 elections in India,Politics,Elections,EVENT
1970 Indian Rajya Sabha elections,Politics,Elections,EVENT
1970 elections in India,Politics,Elections,EVENT
1971 Indian Rajya Sabha elections,Politics,Elections,EVENT
1971 Indian general election in Jammu and Kashmir,Politics,Elections,EVENT
1971 elections in India,Politics,Elections,EVENT
1972 Indian Rajya Sabha elections,Politics,Elections,EVENT
1972 elections in India,Politics,Elections,EVENT
1973 Indian Rajya Sabha elections,Politics,Elections,EVENT
1973 Mawthengkut by-election,Politics,Elections,EVENT
1974 Indian Rajya Sabha elections,Politics,Elections,EVENT
1974 elections in India,Politics,Elections,EVENT
1975 Indian Rajya Sabha elections,Politics,Elections,EVENT
1975 elections in India,Politics,Elections,EVENT
1976 Indian Rajya Sabha elections,Politics,Elections,EVENT
1977 Indian Rajya Sabha elections,Politics,Elections,EVENT
1977 Indian general election in Jammu and Kashmir,Politics,Elections,EVENT
1977 elections in India,Politics,Elections,EVENT
1978 Indian Rajya Sabha elections,Politics,Elections,EVENT
1979 Indian Rajya Sabha elections,Politics,Elections,EVENT
1980 Indian Rajya Sabha elections,Politics,Elections,EVENT
1980 Indian general election in Jammu and Kashmir,Politics,Elections,EVENT
1981 Indian Rajya Sabha elections,Politics,Elections,EVENT
1982 Indian Rajya Sabha elections,Politics,Elections,EVENT
1983 Indian Rajya Sabha elections,Politics,Elections,EVENT
1984 Indian Rajya Sabha elections,Politics,Elections,EVENT
1984 Indian general election in Jammu and Kashmir,Politics,Elections,EVENT
1985 Indian Rajya Sabha elections,Politics,Elections,EVENT
1986 Indian Rajya Sabha elections,Politics,Elections,EVENT
1987 Indian Rajya Sabha elections,Politics,Elections,EVENT
1988 Indian Rajya Sabha elections,Politics,Elections,EVENT
1988 elections in India,Politics,Elections,EVENT
1989 Indian Rajya Sabha elections,Politics,Elections,EVENT
1989 Indian general election in Jammu and Kashmir,Politics,Elections,EVENT
1990 Indian Rajya Sabha elections,Politics,Elections,EVENT
1991 Indian Rajya Sabha elections,Politics,Elections,EVENT
1991 Indian general election in Jammu and Kashmir,Politics,Elections,EVENT
1992 Indian Rajya Sabha elections,Politics,Elections,EVENT
1993 Indian Rajya Sabha elections,Politics,Elections,EVENT
1994 Indian Rajya Sabha elections,Politics,Elections,EVENT
1995 Indian Rajya Sabha elections,Politics,Elections,EVENT
1996 Indian Rajya Sabha elections,Politics,Elections,EVENT
1996 Indian general election in Jammu and Kashmir,Politics,Elections,EVENT
1997 Indian Rajya Sabha elections,Politics,Elections,EVENT
1998 Indian Rajya Sabha elections,Politics,Elections,EVENT
1999 Indian Rajya Sabha elections,Politics,Elections,EVENT
2004 Indian general election in Badagara Lok Sabha constituency,Politics,Elections,EVENT
2004 Indian general election in Bagalkot Lok Sabha constituency,Politics,Elections,EVENT
2004 Indian general election in Bangalore North Lok Sabha constituency,Politics,Elections,EVENT
2004 Indian general election in Bangalore South Lok Sabha constituency,Politics,Elections,EVENT
2004 Indian general election in Belgaum Lok Sabha constituency,Politics,Elections,EVENT
2004 Indian general election in Bijapur Lok Sabha constituency,Politics,Elections,EVENT
2004 Indian general election in Cannanore Lok Sabha constituency,Politics,Elections,EVENT
2004 Indian general election in Chamarajanagar Lok Sabha constituency,Politics,Elections,EVENT
2004 Indian general election in Chikballapur Lok Sabha constituency,Politics,Elections,EVENT
2004 Indian general election in Chikmagalur Lok Sabha constituency,Politics,Elections,EVENT
2004 Indian general election in Chitradurga Lok Sabha constituency,Politics,Elections,EVENT
2004 Indian general election in Dharwad North Lok Sabha constituency,Politics,Elections,EVENT
2004 Indian general election in Dharwad South Lok Sabha constituency,Politics,Elections,EVENT
2004 Indian general election in Hassan Lok Sabha constituency,Politics,Elections,EVENT
2004 Indian general election in Kanakapura Lok Sabha constituency,Politics,Elections,EVENT
2004 Indian general election in Kanara Lok Sabha constituency,Politics,Elections,EVENT
2004 Indian general election in Kolar Lok Sabha constituency,Politics,Elections,EVENT
2004 Indian general election in Mandya Lok Sabha constituency,Politics,Elections,EVENT
2004 Indian general election in Mangalore Lok Sabha constituency,Politics,Elections,EVENT
2004 Indian general election in Mysore Lok Sabha constituency,Politics,Elections,EVENT
2004 Indian general election in Shimoga Lok Sabha constituency,Politics,Elections,EVENT
2004 Indian general election in Tumkur Lok Sabha constituency,Politics,Elections,EVENT
2004 Indian general election in Udupi Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Ahmadnagar Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Ajmer Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Alwar Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Amritsar Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Anandpur Sahib Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Aska Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Balasore Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Banswara Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Baramati Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Bargarh Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Barmer Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Bathinda Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Beed Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Berhampur Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Bhadrak Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Bharatpur Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Bhilwara Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Bhiwandi Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Bhubaneswar Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Bikaner Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Bolangir Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Chennai Central Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Chennai North Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Chennai South Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Chittorgarh Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Churu Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Cuttack Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Dausa Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Dhenkanal Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Faridkot Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Fatehgarh Sahib Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Firozpur Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Ganganagar Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Gurdaspur Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Hatkanangle Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Hoshiarpur Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Inner Manipur Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Jagatsinghpur Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Jaipur Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Jaipur Rural Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Jajpur Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Jalandhar Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Jalore Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Jhalawar-baran Lok Sabha constituency,Politics,Elections,EVENT
2014 Indian general election in Jhunjhunu Lok Sabha constituency,Politics,Elections,EVENT
